timestamp,title,link
1 Hour Ago,Trump: NATO members to face tariffs increasing to 25% until a Greenland purchase deal is struck,https://www.cnbc.com/2026/01/17/trump-greenland-tariffs-nato.html
2 Hours Ago,"Led by Texas, states race to prove they can put bitcoin on public balance sheet",https://www.cnbc.com/2026/01/17/texas-us-states-budgets-bitcoin-crypto-strategic-reserve.html
4 Hours Ago,Unshaken: Why Brazilian stocks have looked past the Venezuela attack,https://www.cnbc.com/2026/01/17/unshaken-why-brazilian-stocks-have-looked-past-the-venezuela-attack.html
4 Hours Ago,Bestselling author: How to create better habits without relying on discipline,https://www.cnbc.com/2026/01/17/james-clear-how-to-create-better-habits-without-relying-on-discipline.html
4 Hours Ago,"Warren Buffett: To maximize your potential, ask yourself this question",https://www.cnbc.com/2026/01/17/warren-buffett-to-maximize-your-potential-ask-yourself-this-question.html
4 Hours Ago,"Buy these five stocks ahead of earnings, Bank of America says",https://www.cnbc.com/2026/01/17/stocks-to-buy-ahead-of-earnings-bank-of-america-says.html
4 Hours Ago,This week’s most overbought names include Darden Restaurants and Target,https://www.cnbc.com/2026/01/17/this-weeks-most-overbought-names-include-darden-restaurants-and-target.html
4 Hours Ago,"Buffett on parenting, giving up horse betting and why he stopped talking politics",https://www.cnbc.com/2026/01/17/warren-buffett-on-parenting-horse-betting-and-why-he-stopped-talking-politics.html
4 Hours Ago,"Unexpected expenses take 10% of retirees’ income, on average, research shows",https://www.cnbc.com/2026/01/17/retirees-emergency-savings.html
5 Hours Ago,Disney dominated the 2025 box office. Here’s how it could keep the crown in 2026,https://www.cnbc.com/2026/01/17/disney-dominated-2025-box-office.html
8 Hours Ago,The founders of billion-dollar AI startups are getting younger — here’s why,https://www.cnbc.com/2026/01/17/billion-dollar-ai-startup-founders-are-getting-younger-heres-why.html
16 Hours Ago,Elon Musk’s xAI faces tougher road building data centers after EPA rule update,https://www.cnbc.com/2026/01/16/musks-xai-faces-tougher-road-expanding-memphis-area-after-epa-update.html
18 Hours Ago,Here’s why Jim Cramer thinks chip stocks can go higher,https://www.cnbc.com/2026/01/16/heres-why-jim-cramer-thinks-chip-stocks-can-go-higher.html
18 Hours Ago,Cramer’s Lightning Round: Sell Super Micro Computer,https://www.cnbc.com/2026/01/16/cramers-lightning-round-sell-super-micro-computer.html
19 Hours Ago,"Cramer’s week ahead: Earnings from Netflix, Intel, Capital One, McCormick",https://www.cnbc.com/2026/01/16/cramers-week-ahead-earnings-from-netflix-intel-capital-one-mccormick.html
19 Hours Ago,Google files to appeal search monopoly case,https://www.cnbc.com/2026/01/16/google-files-to-appeal-search-monopoly-case.html
20 Hours Ago,"More employers worry about workers’ financial well-being, research shows",https://www.cnbc.com/2026/01/16/employers-focusing-more-on-employee-financial-wellbeing-study-shows.html
20 Hours Ago,Republicans want to end the ‘marriage penalty’ for this childcare tax credit,https://www.cnbc.com/2026/01/16/child-and-dependent-care-tax-credit.html
21 Hours Ago,Labor Department accused of echoing Nazi slogan in social media post,https://www.cnbc.com/2026/01/16/trump-labor-nazi-slogan-social-media.html
21 Hours Ago,Education Department to delay collections on defaulted student loans,https://www.cnbc.com/2026/01/16/student-loan-collections-paused.html
22 Hours Ago,"Earnings reports, fears around interest rate outlook may sway markets next week",https://www.cnbc.com/2026/01/16/stock-market-next-week-outlook-for-jan-19-23-2026.html
22 Hours Ago,OpenAI has committed billions to recent chip deals. Some big names have been left out,https://www.cnbc.com/2026/01/16/openai-chip-deal-with-cerebras-adds-to-roster-of-nvidia-amd-broadcom.html
22 Hours Ago,One of our top stocks this week just lost its CFO — what it means for investors,https://www.cnbc.com/2026/01/16/one-of-our-top-stocks-this-week-just-lost-its-cfo-what-it-means-.html
23 Hours Ago,Hassett pivots to possible ‘Trump cards’ amid credit card battle with banks,https://www.cnbc.com/2026/01/16/white-house-hassett-trump-cards-credit-card-battle.html
23 Hours Ago,Can Home Depot’s AI-powered push to court pros move the needle in its own business?,https://www.cnbc.com/2026/01/16/can-home-depots-ai-powered-push-to-court-pros-move-the-needle-in-its-own-business.html
24 Hours Ago,These stocks reporting earnings next week have a history of beating expectations,https://www.cnbc.com/2026/01/16/these-stocks-reporting-earnings-next-week-have-a-history-of-beating-expectations.html
24 Hours Ago,Coastal Virginia Offshore Wind to restart work after judge lifts Trump suspension,https://www.cnbc.com/2026/01/16/biggest-offshore-wind-project-in-us-to-resume-construction-after-judge-lifts-trump-suspension.html
24 Hours Ago,OpenAI to begin testing ads on ChatGPT in the U.S.,https://www.cnbc.com/2026/01/16/open-ai-chatgpt-ads-us.html
24 Hours Ago,Micron stock climbs as CEO highlights AI demand for memory,https://www.cnbc.com/2026/01/16/micron-stock-climbs-as-ceo-highlights-ai-demand-for-memory.html
"January 16, 2026",Stocks usually rally after getting added to S&P 500. These names could be next,https://www.cnbc.com/2026/01/16/stocks-usually-rally-big-after-getting-added-to-the-sp-500-index-these-could-be-next.html
